job_title_short,work_mode,job_count,percentage
Business Analyst,Not Remote,46226,0.9431
Business Analyst,Remote,2789,0.0569
Cloud Engineer,Not Remote,11751,0.9537
Cloud Engineer,Remote,571,0.0463
Data Analyst,Not Remote,182555,0.932
Data Analyst,Remote,13319,0.068
Data Engineer,Not Remote,164818,0.8861
Data Engineer,Remote,21191,0.1139
Data Scientist,Not Remote,157586,0.9156
Data Scientist,Remote,14532,0.0844
Machine Learning Engineer,Not Remote,12582,0.8942
Machine Learning Engineer,Remote,1488,0.1058
Senior Data Analyst,Not Remote,26851,0.9198
Senior Data Analyst,Remote,2342,0.0802
Senior Data Engineer,Not Remote,37973,0.8529
Senior Data Engineer,Remote,6550,0.1471
Senior Data Scientist,Not Remote,33141,0.8972
Senior Data Scientist,Remote,3796,0.1028
Software Engineer,Not Remote,41906,0.9347
Software Engineer,Remote,2928,0.0653
