job_title_short,skill,demand_count
Business Analyst,sql,17331
Business Analyst,excel,17094
Business Analyst,tableau,9308
Business Analyst,power bi,9225
Business Analyst,python,8081
Business Analyst,powerpoint,4580
Business Analyst,r,4025
Business Analyst,word,3665
Business Analyst,sap,3638
Business Analyst,azure,2533
Business Analyst,flow,2398
Business Analyst,oracle,2325
Business Analyst,go,1905
Business Analyst,sql server,1837
Business Analyst,aws,1820
Business Analyst,sas,1798
Business Analyst,jira,1722
Business Analyst,vba,1439
Business Analyst,dax,1188
Business Analyst,snowflake,1186
Business Analyst,outlook,1154
Business Analyst,qlik,1145
Business Analyst,looker,1129
Business Analyst,java,1121
Business Analyst,alteryx,1078
Business Analyst,sharepoint,963
Business Analyst,ssis,918
Business Analyst,visio,861
Business Analyst,ssrs,812
Business Analyst,sheets,775
Business Analyst,javascript,771
Business Analyst,spark,743
Business Analyst,confluence,726
Business Analyst,c,627
Business Analyst,hadoop,626
Business Analyst,redshift,622
Business Analyst,linux,606
Business Analyst,express,590
Business Analyst,gcp,579
Business Analyst,windows,576
Business Analyst,mysql,539
Business Analyst,databricks,528
Business Analyst,cognos,521
Business Analyst,git,519
Business Analyst,microstrategy,517
Business Analyst,bigquery,509
Business Analyst,spss,504
Business Analyst,spreadsheet,443
Business Analyst,t-sql,396
Business Analyst,html,374
Business Analyst,gdpr,342
Business Analyst,nosql,341
Business Analyst,c#,328
Business Analyst,kubernetes,325
Business Analyst,postgresql,320
Business Analyst,airflow,318
Business Analyst,docker,308
Business Analyst,shell,292
Business Analyst,selenium,280
Business Analyst,jenkins,263
Business Analyst,pandas,259
Business Analyst,ms access,258
Business Analyst,github,249
Business Analyst,css,240
Business Analyst,scala,234
Business Analyst,c++,221
Business Analyst,kafka,220
Business Analyst,matlab,215
Business Analyst,react,210
Business Analyst,visual basic,193
Business Analyst,crystal,185
Business Analyst,unix,181
Business Analyst,pyspark,177
Business Analyst,terraform,177
Business Analyst,mongodb,176
Business Analyst,splunk,170
Business Analyst,swift,165
Business Analyst,powershell,162
Business Analyst,php,160
