skill,total_demand,unique_roles,unique_companies
sql,384430,10,79813
python,380495,10,76722
aws,145229,10,35066
azure,132400,10,33529
r,130749,10,34637
tableau,127100,10,34576
excel,126893,10,39543
spark,114495,10,27373
power bi,98048,10,32567
java,85490,10,23666
hadoop,64781,10,17488
scala,56826,10,15149
snowflake,54963,10,15073
databricks,53131,10,14894
gcp,50669,10,14694
git,50176,10,17021
kafka,49885,10,14843
airflow,45191,10,14094
oracle,45168,10,14361
nosql,45022,10,14707
docker,41658,10,13999
sas,41648,10,11868
sql server,40148,10,14943
go,38595,10,10407
kubernetes,37300,10,12245
redshift,33367,10,10600
tensorflow,33163,10,11520
pandas,32161,10,11701
pyspark,32159,10,9981
flow,31920,10,12417
linux,30681,10,11732
word,30551,10,11404
sap,29099,10,10346
powerpoint,28534,10,11013
pytorch,27250,10,10018
mysql,25518,10,9808
javascript,25176,10,10258
bigquery,24016,10,8593
jira,23471,10,8760
c++,21378,10,7643
postgresql,20675,10,8927
numpy,20434,10,8190
terraform,20384,10,7594
scikit-learn,20046,10,7743
looker,19963,10,6969
github,19934,10,7578
jenkins,19780,10,6712
ssis,18774,10,7853
shell,18566,10,6257
mongodb,18153,10,7283
qlik,16898,10,6079
c#,16765,10,7093
c,15674,10,6033
windows,13286,10,6011
vba,12686,10,5406
cassandra,12398,10,4198
keras,12358,10,4801
alteryx,12290,10,3982
matlab,11890,10,4481
unix,11680,10,4485
confluence,10736,10,4281
spss,10335,10,4385
elasticsearch,9921,10,3961
bash,9886,10,4456
gitlab,9431,10,4011
jupyter,9397,10,3859
ssrs,9258,10,4253
dax,9243,10,4532
react,9189,10,4312
outlook,8966,10,4147
matplotlib,8903,10,3740
sharepoint,8766,10,4094
t-sql,8743,10,4025
ansible,7882,10,3566
html,7852,10,4003
express,7413,10,2377
spring,7215,10,2771
powershell,7141,10,3609
gdpr,7079,10,2970
dynamodb,6984,10,2865
css,5759,10,3080
redis,5701,10,2589
sheets,5583,10,2921
cognos,5414,10,2289
angular,5341,10,2479
microstrategy,5298,10,2080
visio,5297,10,2539
typescript,5125,10,2729
splunk,5102,10,1869
bitbucket,5039,10,2224
flask,4798,10,2296
perl,4704,10,2037
db2,4489,10,1890
mongo,4414,10,1498
ruby,4387,10,1916
php,4358,10,2258
plotly,4192,10,1725
golang,4174,10,1741
django,4007,10,2024
seaborn,3745,10,1650
neo4j,3738,10,1555
chef,3710,10,1694
