skill,week_start,actual_count,forecast_count,model_name
aws,2023-10-09,2776,2628.0,naive
aws,2023-10-16,2728,2628.0,naive
aws,2023-10-23,2497,2628.0,naive
aws,2023-10-30,2520,2628.0,naive
aws,2023-11-06,2558,2628.0,naive
aws,2023-11-13,2714,2628.0,naive
aws,2023-11-20,2846,2628.0,naive
aws,2023-11-27,2474,2628.0,naive
aws,2023-12-04,2600,2628.0,naive
aws,2023-12-11,2638,2628.0,naive
aws,2023-12-18,2319,2628.0,naive
aws,2023-12-25,1741,2628.0,naive
aws,2023-10-09,2776,2619.529954944559,exp_smoothing
aws,2023-10-16,2728,2610.9153196359184,exp_smoothing
aws,2023-10-23,2497,2602.3006843272783,exp_smoothing
aws,2023-10-30,2520,2593.6860490186377,exp_smoothing
aws,2023-11-06,2558,2585.0714137099976,exp_smoothing
aws,2023-11-13,2714,2576.4567784013575,exp_smoothing
aws,2023-11-20,2846,2567.842143092717,exp_smoothing
aws,2023-11-27,2474,2559.227507784077,exp_smoothing
aws,2023-12-04,2600,2550.6128724754362,exp_smoothing
aws,2023-12-11,2638,2541.998237166796,exp_smoothing
aws,2023-12-18,2319,2533.383601858156,exp_smoothing
aws,2023-12-25,1741,2524.7689665495154,exp_smoothing
aws,2023-10-09,2776,2655.541805232741,arima
aws,2023-10-16,2728,2672.262781301403,arima
aws,2023-10-23,2497,2682.41429600155,arima
aws,2023-10-30,2520,2688.5774081478826,arima
aws,2023-11-06,2558,2692.3191109824083,arima
aws,2023-11-13,2714,2694.590745794413,arima
aws,2023-11-20,2846,2695.969883835921,arima
aws,2023-11-27,2474,2696.8071758722476,arima
aws,2023-12-04,2600,2697.315506389568,arima
aws,2023-12-11,2638,2697.624120234712,arima
aws,2023-12-18,2319,2697.8114835783817,arima
aws,2023-12-25,1741,2697.925234218878,arima
azure,2023-10-09,2627,2482.0,naive
azure,2023-10-16,2552,2482.0,naive
azure,2023-10-23,2367,2482.0,naive
azure,2023-10-30,2331,2482.0,naive
azure,2023-11-06,2325,2482.0,naive
azure,2023-11-13,2556,2482.0,naive
azure,2023-11-20,2692,2482.0,naive
azure,2023-11-27,2348,2482.0,naive
azure,2023-12-04,2424,2482.0,naive
azure,2023-12-11,2351,2482.0,naive
azure,2023-12-18,2192,2482.0,naive
azure,2023-12-25,1543,2482.0,naive
azure,2023-10-09,2627,2384.3667330563703,exp_smoothing
azure,2023-10-16,2552,2377.011315372814,exp_smoothing
azure,2023-10-23,2367,2369.655897689257,exp_smoothing
azure,2023-10-30,2331,2362.3004800057006,exp_smoothing
azure,2023-11-06,2325,2354.9450623221437,exp_smoothing
azure,2023-11-13,2556,2347.589644638587,exp_smoothing
azure,2023-11-20,2692,2340.2342269550304,exp_smoothing
azure,2023-11-27,2348,2332.8788092714735,exp_smoothing
azure,2023-12-04,2424,2325.523391587917,exp_smoothing
azure,2023-12-11,2351,2318.16797390436,exp_smoothing
azure,2023-12-18,2192,2310.8125562208033,exp_smoothing
azure,2023-12-25,1543,2303.457138537247,exp_smoothing
azure,2023-10-09,2627,2527.3237323280155,arima
azure,2023-10-16,2552,2482.0128580551627,arima
azure,2023-10-23,2367,2527.3108779206013,arima
azure,2023-10-30,2331,2482.0257088158633,arima
azure,2023-11-06,2325,2527.2980308055803,arima
azure,2023-11-13,2556,2482.0385522862393,arima
azure,2023-11-20,2692,2527.285190978815,arima
azure,2023-11-27,2348,2482.0513884704274,arima
azure,2023-12-04,2424,2527.2723584361715,arima
azure,2023-12-11,2351,2482.0642173725605,arima
azure,2023-12-18,2192,2527.259533173517,arima
azure,2023-12-25,1543,2482.0770389967697,arima
excel,2023-10-09,2500,2464.0,naive
excel,2023-10-16,2288,2464.0,naive
excel,2023-10-23,2376,2464.0,naive
excel,2023-10-30,2255,2464.0,naive
excel,2023-11-06,2145,2464.0,naive
excel,2023-11-13,2253,2464.0,naive
excel,2023-11-20,2363,2464.0,naive
excel,2023-11-27,2079,2464.0,naive
excel,2023-12-04,2268,2464.0,naive
excel,2023-12-11,2211,2464.0,naive
excel,2023-12-18,2012,2464.0,naive
excel,2023-12-25,1207,2464.0,naive
excel,2023-10-09,2500,2321.267410477054,exp_smoothing
excel,2023-10-16,2288,2314.5727496592453,exp_smoothing
excel,2023-10-23,2376,2307.8780888414367,exp_smoothing
excel,2023-10-30,2255,2301.183428023628,exp_smoothing
excel,2023-11-06,2145,2294.4887672058194,exp_smoothing
excel,2023-11-13,2253,2287.7941063880107,exp_smoothing
excel,2023-11-20,2363,2281.0994455702016,exp_smoothing
excel,2023-11-27,2079,2274.404784752393,exp_smoothing
excel,2023-12-04,2268,2267.7101239345843,exp_smoothing
excel,2023-12-11,2211,2261.0154631167757,exp_smoothing
excel,2023-12-18,2012,2254.320802298967,exp_smoothing
excel,2023-12-25,1207,2247.6261414811584,exp_smoothing
excel,2023-10-09,2500,2430.6342349336633,arima
excel,2023-10-16,2288,2409.850878930577,arima
excel,2023-10-23,2376,2396.9050380097337,arima
excel,2023-10-30,2255,2388.841143173746,arima
excel,2023-11-06,2145,2383.8181863551454,arima
excel,2023-11-13,2253,2380.68941350844,arima
excel,2023-11-20,2363,2378.7405176927264,arima
excel,2023-11-27,2079,2377.52656094783,arima
excel,2023-12-04,2268,2376.77039380611,arima
excel,2023-12-11,2211,2376.2993813514886,arima
excel,2023-12-18,2012,2376.005990221184,arima
excel,2023-12-25,1207,2375.8232384605953,arima
java,2023-10-09,1627,1490.0,naive
java,2023-10-16,1477,1490.0,naive
java,2023-10-23,1431,1490.0,naive
java,2023-10-30,1438,1490.0,naive
java,2023-11-06,1384,1490.0,naive
java,2023-11-13,1595,1490.0,naive
java,2023-11-20,1689,1490.0,naive
java,2023-11-27,1346,1490.0,naive
java,2023-12-04,1419,1490.0,naive
java,2023-12-11,1512,1490.0,naive
java,2023-12-18,1272,1490.0,naive
java,2023-12-25,1071,1490.0,naive
java,2023-10-09,1627,1446.0110157374363,exp_smoothing
java,2023-10-16,1477,1435.6247810992977,exp_smoothing
java,2023-10-23,1431,1425.2385464611589,exp_smoothing
java,2023-10-30,1438,1414.85231182302,exp_smoothing
java,2023-11-06,1384,1404.4660771848814,exp_smoothing
java,2023-11-13,1595,1394.0798425467426,exp_smoothing
java,2023-11-20,1689,1383.6936079086038,exp_smoothing
java,2023-11-27,1346,1373.3073732704652,exp_smoothing
java,2023-12-04,1419,1362.9211386323263,exp_smoothing
java,2023-12-11,1512,1352.5349039941875,exp_smoothing
java,2023-12-18,1272,1342.1486693560487,exp_smoothing
java,2023-12-25,1071,1331.76243471791,exp_smoothing
java,2023-10-09,1627,1534.3209933147646,arima
java,2023-10-16,1477,1490.6187055587984,arima
java,2023-10-23,1431,1533.7109246690823,arima
java,2023-10-30,1438,1491.2202578596493,arima
java,2023-11-06,1384,1533.1177698278686,arima
java,2023-11-13,1595,1491.805132466824,arima
java,2023-11-20,1689,1532.541059865563,arima
java,2023-11-27,1346,1492.3737917598462,arima
java,2023-12-04,1419,1531.9803388572982,arima
java,2023-12-11,1512,1492.9266852990315,arima
java,2023-12-18,1272,1531.435163518463,arima
java,2023-12-25,1071,1493.464250180893,arima
power bi,2023-10-09,1947,1850.0,naive
power bi,2023-10-16,1866,1850.0,naive
power bi,2023-10-23,1874,1850.0,naive
power bi,2023-10-30,1711,1850.0,naive
power bi,2023-11-06,1784,1850.0,naive
power bi,2023-11-13,1816,1850.0,naive
power bi,2023-11-20,1833,1850.0,naive
power bi,2023-11-27,1698,1850.0,naive
power bi,2023-12-04,1875,1850.0,naive
power bi,2023-12-11,1826,1850.0,naive
power bi,2023-12-18,1590,1850.0,naive
power bi,2023-12-25,1043,1850.0,naive
power bi,2023-10-09,1947,1892.0591029927268,exp_smoothing
power bi,2023-10-16,1866,1892.5114081673678,exp_smoothing
power bi,2023-10-23,1874,1892.9637133420085,exp_smoothing
power bi,2023-10-30,1711,1893.4160185166493,exp_smoothing
power bi,2023-11-06,1784,1893.8683236912902,exp_smoothing
power bi,2023-11-13,1816,1894.320628865931,exp_smoothing
power bi,2023-11-20,1833,1894.7729340405717,exp_smoothing
power bi,2023-11-27,1698,1895.2252392152127,exp_smoothing
power bi,2023-12-04,1875,1895.6775443898534,exp_smoothing
power bi,2023-12-11,1826,1896.1298495644942,exp_smoothing
