source_role,target_role,similarity_score,shared_skills,missing_skills,recommended_next_skills
Business Analyst,Data Analyst,0.977,"aws, azure, excel, go, oracle, power bi, powerpoint, python, r, sap, sql, sql server, tableau, word",sas,sas
Business Analyst,Senior Data Analyst,0.9336,"aws, azure, excel, oracle, power bi, powerpoint, python, r, sql, sql server, tableau, word","looker, sas, snowflake","snowflake, sas, looker"
Business Analyst,Data Scientist,0.6903,"aws, azure, excel, power bi, python, r, sql, tableau","hadoop, java, pandas, pytorch, sas, spark, tensorflow","spark, java, hadoop, sas, tensorflow"
Business Analyst,Senior Data Scientist,0.6675,"aws, azure, excel, python, r, sql, tableau","hadoop, java, pandas, pytorch, sas, scikit-learn, spark, tensorflow","spark, java, hadoop, sas, tensorflow"
Business Analyst,Data Engineer,0.6208,"aws, azure, python, sql","airflow, databricks, gcp, git, hadoop, java, kafka, nosql, scala, snowflake, spark","spark, java, hadoop, scala, snowflake"
Business Analyst,Senior Data Engineer,0.5743,"aws, azure, python, sql","airflow, databricks, gcp, hadoop, java, kafka, nosql, redshift, scala, snowflake, spark","spark, java, hadoop, scala, snowflake"
Business Analyst,Software Engineer,0.5463,"aws, azure, go, python, sql","docker, gcp, git, java, javascript, kafka, kubernetes, linux, react, spark","spark, java, git, kafka, gcp"
Business Analyst,Cloud Engineer,0.5129,"aws, azure, excel, go, python, sql","ansible, docker, gcp, git, java, kubernetes, linux, terraform, windows","java, gcp, git, kubernetes, docker"
Business Analyst,Machine Learning Engineer,0.4302,"aws, azure, python, r, sql","docker, gcp, git, java, kubernetes, pandas, pytorch, scikit-learn, spark, tensorflow","spark, java, tensorflow, gcp, pytorch"
Cloud Engineer,Software Engineer,0.9271,"aws, azure, docker, gcp, git, go, java, kubernetes, linux, python, sql","javascript, kafka, react, spark","spark, kafka, javascript, react"
Cloud Engineer,Data Engineer,0.8388,"aws, azure, gcp, git, java, python, sql","airflow, databricks, hadoop, kafka, nosql, scala, snowflake, spark","spark, hadoop, scala, snowflake, databricks"
Cloud Engineer,Senior Data Engineer,0.8386,"aws, azure, gcp, java, python, sql","airflow, databricks, hadoop, kafka, nosql, redshift, scala, snowflake, spark","spark, hadoop, scala, snowflake, kafka"
Cloud Engineer,Machine Learning Engineer,0.7589,"aws, azure, docker, gcp, git, java, kubernetes, python, sql","pandas, pytorch, r, scikit-learn, spark, tensorflow","r, spark, tensorflow, pytorch, pandas"
Cloud Engineer,Senior Data Scientist,0.7115,"aws, azure, excel, java, python, sql","hadoop, pandas, pytorch, r, sas, scikit-learn, spark, tableau, tensorflow","tableau, r, spark, hadoop, sas"
Cloud Engineer,Data Scientist,0.6941,"aws, azure, excel, java, python, sql","hadoop, pandas, power bi, pytorch, r, sas, spark, tableau, tensorflow","tableau, r, power bi, spark, hadoop"
Cloud Engineer,Senior Data Analyst,0.5777,"aws, azure, excel, python, sql","looker, oracle, power bi, powerpoint, r, sas, snowflake, sql server, tableau, word","tableau, power bi, r, snowflake, sas"
Cloud Engineer,Data Analyst,0.554,"aws, azure, excel, go, python, sql","oracle, power bi, powerpoint, r, sap, sas, sql server, tableau, word","tableau, power bi, r, sas, oracle"
Cloud Engineer,Business Analyst,0.5129,"aws, azure, excel, go, python, sql","flow, oracle, power bi, powerpoint, r, sap, sql server, tableau, word","tableau, power bi, r, oracle, powerpoint"
Data Analyst,Senior Data Analyst,0.9834,"aws, azure, excel, oracle, power bi, powerpoint, python, r, sas, sql, sql server, tableau, word","looker, snowflake","snowflake, looker"
Data Analyst,Business Analyst,0.977,"aws, azure, excel, go, oracle, power bi, powerpoint, python, r, sap, sql, sql server, tableau, word",flow,flow
Data Analyst,Data Scientist,0.8056,"aws, azure, excel, power bi, python, r, sas, sql, tableau","hadoop, java, pandas, pytorch, spark, tensorflow","spark, java, hadoop, tensorflow, pandas"
Data Analyst,Senior Data Scientist,0.7837,"aws, azure, excel, python, r, sas, sql, tableau","hadoop, java, pandas, pytorch, scikit-learn, spark, tensorflow","spark, java, hadoop, tensorflow, pandas"
Data Analyst,Data Engineer,0.7023,"aws, azure, python, sql","airflow, databricks, gcp, git, hadoop, java, kafka, nosql, scala, snowflake, spark","spark, java, hadoop, scala, snowflake"
Data Analyst,Senior Data Engineer,0.6538,"aws, azure, python, sql","airflow, databricks, gcp, hadoop, java, kafka, nosql, redshift, scala, snowflake, spark","spark, java, hadoop, scala, snowflake"
Data Analyst,Software Engineer,0.6042,"aws, azure, go, python, sql","docker, gcp, git, java, javascript, kafka, kubernetes, linux, react, spark","spark, java, git, kafka, gcp"
Data Analyst,Cloud Engineer,0.554,"aws, azure, excel, go, python, sql","ansible, docker, gcp, git, java, kubernetes, linux, terraform, windows","java, gcp, git, kubernetes, docker"
Data Analyst,Machine Learning Engineer,0.5216,"aws, azure, python, r, sql","docker, gcp, git, java, kubernetes, pandas, pytorch, scikit-learn, spark, tensorflow","spark, java, tensorflow, gcp, pytorch"
Data Engineer,Senior Data Engineer,0.9948,"airflow, aws, azure, databricks, gcp, hadoop, java, kafka, nosql, python, scala, snowflake, spark, sql",redshift,redshift
Data Engineer,Software Engineer,0.875,"aws, azure, gcp, git, java, kafka, python, spark, sql","docker, go, javascript, kubernetes, linux, react","docker, kubernetes, go, linux, javascript"
Data Engineer,Senior Data Scientist,0.8711,"aws, azure, hadoop, java, python, spark, sql","excel, pandas, pytorch, r, sas, scikit-learn, tableau, tensorflow","tableau, r, excel, sas, tensorflow"
Data Engineer,Data Scientist,0.8513,"aws, azure, hadoop, java, python, spark, sql","excel, pandas, power bi, pytorch, r, sas, tableau, tensorflow","tableau, r, excel, power bi, sas"
Data Engineer,Cloud Engineer,0.8388,"aws, azure, gcp, git, java, python, sql","ansible, docker, excel, go, kubernetes, linux, terraform, windows","excel, kubernetes, docker, linux, go"
Data Engineer,Machine Learning Engineer,0.798,"aws, azure, gcp, git, java, python, spark, sql","docker, kubernetes, pandas, pytorch, r, scikit-learn, tensorflow","r, tensorflow, pytorch, docker, kubernetes"
Data Engineer,Senior Data Analyst,0.7543,"aws, azure, python, snowflake, sql","excel, looker, oracle, power bi, powerpoint, r, sas, sql server, tableau, word","tableau, excel, power bi, r, sas"
Data Engineer,Data Analyst,0.7023,"aws, azure, python, sql","excel, go, oracle, power bi, powerpoint, r, sap, sas, sql server, tableau, word","tableau, excel, power bi, r, sas"
Data Engineer,Business Analyst,0.6208,"aws, azure, python, sql","excel, flow, go, oracle, power bi, powerpoint, r, sap, sql server, tableau, word","excel, tableau, power bi, r, oracle"
Data Scientist,Senior Data Scientist,0.9961,"aws, azure, excel, hadoop, java, pandas, python, pytorch, r, sas, spark, sql, tableau, tensorflow",scikit-learn,scikit-learn
Data Scientist,Data Engineer,0.8513,"aws, azure, hadoop, java, python, spark, sql","airflow, databricks, gcp, git, kafka, nosql, scala, snowflake","scala, snowflake, databricks, kafka, gcp"
Data Scientist,Senior Data Analyst,0.8508,"aws, azure, excel, power bi, python, r, sas, sql, tableau","looker, oracle, powerpoint, snowflake, sql server, word","snowflake, oracle, sql server, powerpoint, word"
Data Scientist,Machine Learning Engineer,0.8483,"aws, azure, java, pandas, python, pytorch, r, spark, sql, tensorflow","docker, gcp, git, kubernetes, scikit-learn","gcp, docker, git, kubernetes, scikit-learn"
Data Scientist,Senior Data Engineer,0.8194,"aws, azure, hadoop, java, python, spark, sql","airflow, databricks, gcp, kafka, nosql, redshift, scala, snowflake","scala, snowflake, kafka, databricks, gcp"
Data Scientist,Data Analyst,0.8056,"aws, azure, excel, power bi, python, r, sas, sql, tableau","go, oracle, powerpoint, sap, sql server, word","oracle, sql server, go, word, powerpoint"
Data Scientist,Software Engineer,0.7581,"aws, azure, java, python, spark, sql","docker, gcp, git, go, javascript, kafka, kubernetes, linux, react","git, kafka, gcp, docker, kubernetes"
Data Scientist,Cloud Engineer,0.6941,"aws, azure, excel, java, python, sql","ansible, docker, gcp, git, go, kubernetes, linux, terraform, windows","gcp, git, kubernetes, docker, linux"
Data Scientist,Business Analyst,0.6903,"aws, azure, excel, power bi, python, r, sql, tableau","flow, go, oracle, powerpoint, sap, sql server, word","oracle, powerpoint, sql server, word, go"
Machine Learning Engineer,Senior Data Scientist,0.8721,"aws, azure, java, pandas, python, pytorch, r, scikit-learn, spark, sql, tensorflow","excel, hadoop, sas, tableau","tableau, excel, hadoop, sas"
Machine Learning Engineer,Data Scientist,0.8483,"aws, azure, java, pandas, python, pytorch, r, spark, sql, tensorflow","excel, hadoop, power bi, sas, tableau","tableau, excel, power bi, hadoop, sas"
Machine Learning Engineer,Software Engineer,0.8018,"aws, azure, docker, gcp, git, java, kubernetes, python, spark, sql","go, javascript, kafka, linux, react","kafka, go, linux, javascript, react"
