week_start,skill,demand_count
2022-12-26,aws,607
2023-01-02,aws,3738
2023-01-09,aws,3918
2023-01-16,aws,3757
2023-01-23,aws,3662
2023-01-30,aws,3438
2023-02-06,aws,3115
2023-02-13,aws,2927
2023-02-20,aws,2934
2023-02-27,aws,3109
2023-03-06,aws,2917
2023-03-13,aws,2651
2023-03-20,aws,2574
2023-03-27,aws,2655
2023-04-03,aws,2463
2023-04-10,aws,2742
2023-04-17,aws,2751
2023-04-24,aws,3113
2023-05-01,aws,3038
2023-05-08,aws,2836
2023-05-15,aws,1443
2023-05-22,aws,1828
2023-05-29,aws,2462
2023-06-05,aws,2785
2023-06-12,aws,2722
2023-06-19,aws,2809
2023-06-26,aws,2821
2023-07-03,aws,2714
2023-07-10,aws,2604
2023-07-17,aws,2910
2023-07-24,aws,2808
2023-07-31,aws,2842
2023-08-07,aws,2731
2023-08-14,aws,3051
2023-08-21,aws,3405
2023-08-28,aws,3541
2023-09-04,aws,2552
2023-09-11,aws,2188
2023-09-18,aws,2397
2023-09-25,aws,2632
2023-10-02,aws,2628
2023-10-09,aws,2776
2023-10-16,aws,2728
2023-10-23,aws,2497
2023-10-30,aws,2520
2023-11-06,aws,2558
2023-11-13,aws,2714
2023-11-20,aws,2846
2023-11-27,aws,2474
2023-12-04,aws,2600
2023-12-11,aws,2638
2023-12-18,aws,2319
2023-12-25,aws,1741
2022-12-26,azure,592
2023-01-02,azure,3251
2023-01-09,azure,3539
2023-01-16,azure,3551
2023-01-23,azure,3445
2023-01-30,azure,3147
2023-02-06,azure,2862
2023-02-13,azure,2707
2023-02-20,azure,2637
2023-02-27,azure,2742
2023-03-06,azure,2600
2023-03-13,azure,2408
2023-03-20,azure,2217
2023-03-27,azure,2453
2023-04-03,azure,2225
2023-04-10,azure,2485
2023-04-17,azure,2535
2023-04-24,azure,2777
2023-05-01,azure,2573
2023-05-08,azure,2443
2023-05-15,azure,1320
2023-05-22,azure,1580
2023-05-29,azure,2309
2023-06-05,azure,2497
2023-06-12,azure,2567
2023-06-19,azure,2591
2023-06-26,azure,2586
2023-07-03,azure,2379
2023-07-10,azure,2432
2023-07-17,azure,2600
2023-07-24,azure,2634
2023-07-31,azure,2459
2023-08-07,azure,2456
2023-08-14,azure,2663
2023-08-21,azure,3052
2023-08-28,azure,3114
2023-09-04,azure,2403
2023-09-11,azure,2116
2023-09-18,azure,2250
2023-09-25,azure,2413
2023-10-02,azure,2482
2023-10-09,azure,2627
2023-10-16,azure,2552
2023-10-23,azure,2367
2023-10-30,azure,2331
2023-11-06,azure,2325
2023-11-13,azure,2556
2023-11-20,azure,2692
2023-11-27,azure,2348
2023-12-04,azure,2424
2023-12-11,azure,2351
2023-12-18,azure,2192
2023-12-25,azure,1543
2022-12-26,excel,537
2023-01-02,excel,3300
2023-01-09,excel,3425
2023-01-16,excel,3498
2023-01-23,excel,3335
2023-01-30,excel,3012
2023-02-06,excel,2819
2023-02-13,excel,2519
2023-02-20,excel,2562
2023-02-27,excel,2578
2023-03-06,excel,2469
2023-03-13,excel,2290
2023-03-20,excel,2245
2023-03-27,excel,2235
2023-04-03,excel,2222
2023-04-10,excel,2492
2023-04-17,excel,2610
2023-04-24,excel,2742
2023-05-01,excel,2325
2023-05-08,excel,2356
2023-05-15,excel,1132
2023-05-22,excel,1688
2023-05-29,excel,2156
2023-06-05,excel,2323
2023-06-12,excel,2518
2023-06-19,excel,2445
2023-06-26,excel,2481
2023-07-03,excel,2180
2023-07-10,excel,2439
2023-07-17,excel,2316
2023-07-24,excel,2489
2023-07-31,excel,2510
2023-08-07,excel,2493
2023-08-14,excel,2843
2023-08-21,excel,3161
2023-08-28,excel,3134
2023-09-04,excel,2213
2023-09-11,excel,1971
